SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S162,701,1,CW_S,201,32,DENSELY,AB_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S162,728,1,CW_S,201,33,NEATLY,AB_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S162,738,1,CW_S,201,34,GUILTY,AB_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S162,539,0,CW_S,201,35,HUGELY,AB_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S162,577,1,CW_S,201,36,COSTLY,AB_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S162,486,1,CW_S,201,37,LOCALLY,AB_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S162,441,1,CW_S,201,38,AMUSEMENT,AB_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S162,463,1,CW_S,201,39,AMAZEMENT,AB_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S162,477,1,CW_S,201,40,ENJOYMENT,AB_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S162,752,1,CW_S,201,41,BOLDNESS,AB_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S162,524,1,CW_S,201,42,MILDNESS,AB_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S162,614,1,CW_S,201,43,DULLNESS,AB_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S162,507,1,CW_S,201,44,AWARENESS,AB_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S162,648,1,CW_S,201,45,RICHNESS,AB_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S162,525,1,CW_S,201,46,STRANGENESS,AB_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S162,440,0,CW_S,201,47,MOSSY,AB_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S162,471,1,CW_S,201,48,CHILLY,AB_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S162,638,1,CW_S,201,49,BOSSY,AB_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S162,531,1,CW_S,201,50,RISKY,AB_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S162,549,1,CW_L,202,1,PUNCHER,AB_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S162,987,0,CW_L,202,2,BARKER,AB_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S162,541,1,CW_L,202,3,SPELLER,AB_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S162,472,1,CW_L,202,4,KNOCKER,AB_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S162,669,1,CW_L,202,5,SWIMMER,AB_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S162,612,1,CW_L,202,6,COMPOSER,AB_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S162,675,1,CW_L,202,7,BOMBER,AB_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S162,542,1,CW_L,202,8,LOCKER,AB_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S162,625,1,CW_L,202,9,RENTER,AB_m21,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S162,438,1,CW_L,202,10,HUNTER,AB_m21,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S162,618,1,CW_L,202,11,DANCER,AB_m21,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S162,454,1,CW_L,202,12,DREAMER,AB_m21,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S162,476,1,CW_L,202,13,PUSHER,AB_m21,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S162,804,1,CW_L,202,14,FEEDER,AB_m21,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S162,658,1,CW_L,202,15,CLEANER,AB_m21,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S162,574,0,CW_L,202,16,HEATER,AB_m21,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
S162,537,1,CW_L,202,17,STRIKER,AB_m21,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S162,488,1,CW_L,202,18,PAINTER,AB_m21,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
S162,610,1,CW_L,202,19,SHAMEFUL,AB_m21,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S162,477,1,CW_L,202,20,FAITHFUL,AB_m21,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S162,500,1,CW_L,202,21,DOUBTFUL,AB_m21,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S162,620,1,CW_L,202,22,FLEXIBLE,AB_m21,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S162,545,1,CW_L,202,23,KICKING,AB_m21,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S162,661,1,CW_L,202,24,COOLING,AB_m21,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S162,676,1,CW_L,202,25,PARKING,AB_m21,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S162,734,1,CW_L,202,26,GUARDING,AB_m21,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S162,454,1,CW_L,202,27,LAUGHING,AB_m21,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S162,636,1,CW_L,202,28,DAMPISH,AB_m21,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S162,510,1,CW_L,202,29,STYLISH,AB_m21,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S162,449,1,CW_L,202,30,JUMPING,AB_m21,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
S162,436,1,CW_L,202,31,GUILELESS,AB_m21,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S162,541,1,CW_L,202,32,BOOTLESS,AB_m21,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S162,462,1,CW_L,202,33,CLOUDLESS,AB_m21,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S162,539,1,CW_L,202,34,BONELESS,AB_m21,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S162,688,1,CW_L,202,35,SHAPELY,AB_m21,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S162,534,1,CW_L,202,36,QUIETLY,AB_m21,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S162,555,1,CW_L,202,37,WRONGLY,AB_m21,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S162,505,1,CW_L,202,38,EXCITEMENT,AB_m21,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S162,577,1,CW_L,202,39,DEAFNESS,AB_m21,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S162,491,1,CW_L,202,40,BLINDNESS,AB_m21,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S162,564,1,CW_L,202,41,MADNESS,AB_m21,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S162,563,0,CW_L,202,42,DRYNESS,AB_m21,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S162,379,1,CW_L,202,43,SAILOR,AB_m21,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S162,518,1,CW_L,202,44,CONDUCTOR,AB_m21,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S162,434,0,CW_L,202,45,EDITOR,AB_m21,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S162,505,1,CW_L,202,46,COLLECTOR,AB_m21,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S162,456,1,CW_L,202,47,PROFESSOR,AB_m21,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S162,815,1,CW_L,202,48,WEEDY,AB_m21,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S162,533,1,CW_L,202,49,CREAMY,AB_m21,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S162,559,1,CW_L,202,50,VERBAL,AB_m21,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S163,675,1,CW_S,201,1,DETECTABLE,BA_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S163,611,1,CW_S,201,2,AVOIDABLE,BA_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S163,797,1,CW_S,201,3,NOTICEABLE,BA_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S163,633,1,CW_S,201,4,MAGICAL,BA_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S163,608,1,CW_S,201,5,ALLOWANCE,BA_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S163,598,1,CW_S,201,6,DIETARY,BA_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S163,891,1,CW_S,201,7,WIDOWED,BA_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S163,805,1,CW_S,201,8,BEARDED,BA_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S163,530,1,CW_S,201,9,INSISTENT,BA_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S163,679,1,CW_S,201,10,TOASTER,BA_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S163,576,0,CW_S,201,11,LENDER,BA_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S163,527,1,CW_S,201,12,RAIDER,BA_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S163,707,1,CW_S,201,13,JAILER,BA_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S163,994,0,CW_S,201,14,DESTROYER,BA_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S163,992,0,CW_S,201,15,CAMPAIGNER,BA_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S163,533,1,CW_S,201,16,SEEKER,BA_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S163,623,1,CW_S,201,17,SINGER,BA_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S163,487,1,CW_S,201,18,LISTENER,BA_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S163,720,1,CW_S,201,19,DESIGN,BA_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S163,680,1,CW_S,201,20,ATTACKER,BA_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S163,704,1,CW_S,201,21,BUYER,BA_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S163,624,1,CW_S,201,22,PLANNER,BA_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S163,603,1,CW_S,201,23,TEACHER,BA_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S163,394,1,CW_S,201,24,THRUSTER,BA_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S163,506,1,CW_S,201,25,ANGELIC,BA_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S163,559,1,CW_S,201,26,TOSSING,BA_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S163,849,1,CW_S,201,27,TUTORING,BA_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S163,677,1,CW_S,201,28,PEAKING,BA_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S163,566,1,CW_S,201,29,HARMLESS,BA_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S163,990,0,CW_S,201,30,EFFORTLESS,BA_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S163,992,0,CW_S,201,31,GRIMLY,BA_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S163,994,0,CW_S,201,32,DENSELY,BA_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S163,459,1,CW_S,201,33,NEATLY,BA_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S163,638,1,CW_S,201,34,GUILTY,BA_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S163,773,0,CW_S,201,35,HUGELY,BA_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S163,606,1,CW_S,201,36,COSTLY,BA_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S163,632,1,CW_S,201,37,LOCALLY,BA_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S163,527,1,CW_S,201,38,AMUSEMENT,BA_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S163,635,1,CW_S,201,39,AMAZEMENT,BA_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S163,664,1,CW_S,201,40,ENJOYMENT,BA_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S163,611,1,CW_S,201,41,BOLDNESS,BA_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S163,505,1,CW_S,201,42,MILDNESS,BA_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S163,951,1,CW_S,201,43,DULLNESS,BA_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S163,613,1,CW_S,201,44,AWARENESS,BA_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S163,546,1,CW_S,201,45,RICHNESS,BA_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S163,631,1,CW_S,201,46,STRANGENESS,BA_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S163,620,1,CW_S,201,47,MOSSY,BA_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S163,673,1,CW_S,201,48,CHILLY,BA_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S163,583,1,CW_S,201,49,BOSSY,BA_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S163,753,1,CW_S,201,50,RISKY,BA_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S163,640,1,CW_L,202,1,PUNCHER,BA_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S163,988,0,CW_L,202,2,BARKER,BA_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S163,749,1,CW_L,202,3,SPELLER,BA_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S163,488,1,CW_L,202,4,KNOCKER,BA_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S163,478,1,CW_L,202,5,SWIMMER,BA_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S163,699,1,CW_L,202,6,COMPOSER,BA_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S163,884,1,CW_L,202,7,BOMBER,BA_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S163,609,1,CW_L,202,8,LOCKER,BA_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S163,525,1,CW_L,202,9,RENTER,BA_m21,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S163,639,1,CW_L,202,10,HUNTER,BA_m21,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S163,614,1,CW_L,202,11,DANCER,BA_m21,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S163,591,1,CW_L,202,12,DREAMER,BA_m21,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S163,707,1,CW_L,202,13,PUSHER,BA_m21,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S163,514,1,CW_L,202,14,FEEDER,BA_m21,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S163,602,1,CW_L,202,15,CLEANER,BA_m21,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S163,375,1,CW_L,202,16,HEATER,BA_m21,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
S163,531,1,CW_L,202,17,STRIKER,BA_m21,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S163,636,1,CW_L,202,18,PAINTER,BA_m21,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
S163,848,1,CW_L,202,19,SHAMEFUL,BA_m21,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S163,461,1,CW_L,202,20,FAITHFUL,BA_m21,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S163,852,1,CW_L,202,21,DOUBTFUL,BA_m21,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S163,467,1,CW_L,202,22,FLEXIBLE,BA_m21,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S163,442,1,CW_L,202,23,KICKING,BA_m21,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S163,596,1,CW_L,202,24,COOLING,BA_m21,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S163,652,1,CW_L,202,25,PARKING,BA_m21,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S163,530,1,CW_L,202,26,GUARDING,BA_m21,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S163,519,1,CW_L,202,27,LAUGHING,BA_m21,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S163,992,0,CW_L,202,28,DAMPISH,BA_m21,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S163,750,1,CW_L,202,29,STYLISH,BA_m21,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S163,589,1,CW_L,202,30,JUMPING,BA_m21,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
S163,657,1,CW_L,202,31,GUILELESS,BA_m21,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S163,923,1,CW_L,202,32,BOOTLESS,BA_m21,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S163,612,1,CW_L,202,33,CLOUDLESS,BA_m21,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S163,440,1,CW_L,202,34,BONELESS,BA_m21,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S163,696,1,CW_L,202,35,SHAPELY,BA_m21,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S163,992,0,CW_L,202,36,QUIETLY,BA_m21,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S163,687,1,CW_L,202,37,WRONGLY,BA_m21,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S163,722,1,CW_L,202,38,EXCITEMENT,BA_m21,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S163,613,1,CW_L,202,39,DEAFNESS,BA_m21,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S163,454,1,CW_L,202,40,BLINDNESS,BA_m21,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S163,859,1,CW_L,202,41,MADNESS,BA_m21,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S163,790,1,CW_L,202,42,DRYNESS,BA_m21,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S163,907,1,CW_L,202,43,SAILOR,BA_m21,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S163,573,1,CW_L,202,44,CONDUCTOR,BA_m21,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S163,995,0,CW_L,202,45,EDITOR,BA_m21,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S163,505,1,CW_L,202,46,COLLECTOR,BA_m21,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S163,524,1,CW_L,202,47,PROFESSOR,BA_m21,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S163,997,0,CW_L,202,48,WEEDY,BA_m21,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S163,612,1,CW_L,202,49,CREAMY,BA_m21,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S163,428,1,CW_L,202,50,VERBAL,BA_m21,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S164,725,1,CW_S,201,1,DETECTABLE,BA_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S164,779,1,CW_S,201,2,AVOIDABLE,BA_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S164,518,1,CW_S,201,3,NOTICEABLE,BA_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S164,727,1,CW_S,201,4,MAGICAL,BA_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S164,686,1,CW_S,201,5,ALLOWANCE,BA_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S164,989,0,CW_S,201,6,DIETARY,BA_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S164,744,1,CW_S,201,7,WIDOWED,BA_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S164,599,1,CW_S,201,8,BEARDED,BA_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S164,722,1,CW_S,201,9,INSISTENT,BA_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S164,997,0,CW_S,201,10,TOASTER,BA_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S164,745,1,CW_S,201,11,LENDER,BA_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S164,795,1,CW_S,201,12,RAIDER,BA_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S164,823,1,CW_S,201,13,JAILER,BA_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S164,867,1,CW_S,201,14,DESTROYER,BA_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S164,979,1,CW_S,201,15,CAMPAIGNER,BA_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S164,694,1,CW_S,201,16,SEEKER,BA_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S164,801,1,CW_S,201,17,SINGER,BA_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S164,590,1,CW_S,201,18,LISTENER,BA_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S164,636,1,CW_S,201,19,DESIGN,BA_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S164,597,1,CW_S,201,20,ATTACKER,BA_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S164,697,1,CW_S,201,21,BUYER,BA_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S164,622,1,CW_S,201,22,PLANNER,BA_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S164,499,1,CW_S,201,23,TEACHER,BA_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S164,926,1,CW_S,201,24,THRUSTER,BA_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S164,586,1,CW_S,201,25,ANGELIC,BA_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S164,747,1,CW_S,201,26,TOSSING,BA_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S164,994,0,CW_S,201,27,TUTORING,BA_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S164,546,1,CW_S,201,28,PEAKING,BA_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S164,710,1,CW_S,201,29,HARMLESS,BA_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S164,648,1,CW_S,201,30,EFFORTLESS,BA_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S164,994,0,CW_S,201,31,GRIMLY,BA_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S164,798,1,CW_S,201,32,DENSELY,BA_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S164,814,1,CW_S,201,33,NEATLY,BA_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S164,526,1,CW_S,201,34,GUILTY,BA_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S164,780,1,CW_S,201,35,HUGELY,BA_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S164,637,1,CW_S,201,36,COSTLY,BA_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S164,456,1,CW_S,201,37,LOCALLY,BA_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S164,790,1,CW_S,201,38,AMUSEMENT,BA_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S164,672,1,CW_S,201,39,AMAZEMENT,BA_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S164,549,1,CW_S,201,40,ENJOYMENT,BA_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S164,821,1,CW_S,201,41,BOLDNESS,BA_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S164,665,1,CW_S,201,42,MILDNESS,BA_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S164,752,1,CW_S,201,43,DULLNESS,BA_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S164,723,1,CW_S,201,44,AWARENESS,BA_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S164,464,1,CW_S,201,45,RICHNESS,BA_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S164,675,1,CW_S,201,46,STRANGENESS,BA_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S164,736,1,CW_S,201,47,MOSSY,BA_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S164,516,1,CW_S,201,48,CHILLY,BA_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S164,686,1,CW_S,201,49,BOSSY,BA_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S164,552,1,CW_S,201,50,RISKY,BA_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S164,478,1,CW_L,202,1,PUNCHER,BA_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S164,649,1,CW_L,202,2,BARKER,BA_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S164,501,1,CW_L,202,3,SPELLER,BA_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S164,631,1,CW_L,202,4,KNOCKER,BA_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S164,724,1,CW_L,202,5,SWIMMER,BA_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S164,486,1,CW_L,202,6,COMPOSER,BA_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S164,697,1,CW_L,202,7,BOMBER,BA_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S164,576,1,CW_L,202,8,LOCKER,BA_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
